compID	cor.coefficient	glm.pvalue	glm.fdr
fRNAcov_versus_dN	-0.358781454679268	0.000102522299047077	0.000318172652215066
gene_length_versus_dN	0.310852407769273	0.000850261102279269	0.00186642680988132
inv.length_versus_dN	-0.310852407769273	0.000850261102279269	0.00186642680988132
expr_versus_dN	-0.556220299848568	7.26453952210416e-10	6.53808556989374e-09
abund_versus_dN	-0.517467974301396	1.69595200604949e-06	6.6363339367154e-06
cai_versus_dN	-0.65392083310312	5.4031184937903e-15	6.07850830551409e-14
disp_versus_dN	0.338939801860439	0.000379380443454856	0.00106700749721678
essential.num_versus_dN	-0.321368311675667	0.000655955360754409	0.00159556709372694
fold.length.sum_versus_dN	-0.136266198818732	0.151966628894005	0.177623332473512
fRNAcov_versus_dS	-0.531664007772967	1.62155221835782e-09	1.13250857823023e-08
gene_length_versus_dS	0.435083222979731	1.6360295078608e-06	6.6363339367154e-06
inv.length_versus_dS	-0.435083222979731	1.6360295078608e-06	6.6363339367154e-06
expr_versus_dS	-0.782147707161492	6.87925858316384e-23	1.54783318121186e-21
abund_versus_dS	-0.488414420287097	7.6060049653267e-06	2.53533498844223e-05
cai_versus_dS	-0.834741040017699	2.83610198205057e-30	1.27624589192275e-28
disp_versus_dS	0.256271731869455	0.00801039705784554	0.0131362015252766
essential.num_versus_dS	-0.25010884460618	0.008717599785162	0.0137646312397295
fold.length.sum_versus_dS	-0.234160929138601	0.0129559926294519	0.018508560899217
fRNAcov_versus_dSadj	-0.397997231862488	1.38840675189286e-05	4.46273598822705e-05
gene_length_versus_dSadj	0.439140644679481	1.27450531303978e-06	6.6363339367154e-06
inv.length_versus_dSadj	-0.439140644679481	1.27450531303978e-06	6.6363339367154e-06
expr_versus_dSadj	-0.257408255576614	0.00802767870989124	0.0131362015252766
abund_versus_dSadj	-0.135362821571461	0.243661579098549	0.274119276485868
cai_versus_dSadj	-0.153778686071634	0.10548432481583	0.133712524414432
disp_versus_dSadj	0.211811430197509	0.0292819283619369	0.0393339336205123
essential.num_versus_dSadj	-0.21133260794525	0.0273897361493964	0.0379242500530103
fold.length.sum_versus_dSadj	-0.0322098541212108	0.736011028269719	0.76139071889971
fRNAcov_versus_dNdS	-0.0905783102272843	0.342218444978066	0.362348941741482
gene_length_versus_dNdS	0.0974080577974008	0.306905223896592	0.328827025603491
inv.length_versus_dNdS	-0.0974080577974008	0.306905223896592	0.328827025603491
