compID	cor.coefficient	glm.pvalue	glm.fdr
fRNAcov_versus_sacCer_sacPar_dN	-0.206600018651254	0.00738928742924969	0.0191417309490177
gene_length_versus_sacCer_sacPar_dN	0.177817078168343	0.0215051482039601	0.0392846495946959
inv.length_versus_sacCer_sacPar_dN	-0.177817078168343	0.0215051482039601	0.0392846495946959
expr_versus_sacCer_sacPar_dN	-0.424456932411879	2.7279846352675e-08	2.45518617174075e-07
abund_versus_sacCer_sacPar_dN	-0.533019421962119	7.29565100415192e-10	1.09434765062279e-08
cai_versus_sacCer_sacPar_dN	-0.456933719656513	5.40098549873432e-10	1.09434765062279e-08
disp_versus_sacCer_sacPar_dN	0.255358332985375	0.00120296799618403	0.00451112998569013
essential.num_versus_sacCer_sacPar_dN	-0.247701085562702	0.00148304114493849	0.0051336039632486
fold.length.sum_versus_sacCer_sacPar_dN	-0.0911321522985438	0.241486074522982	0.306109108550258
fRNAcov_versus_sacCer_sacPar_dS	-0.100633694062546	0.195667622102369	0.258971852782547
gene_length_versus_sacCer_sacPar_dS	0.106600934336487	0.170327893499837	0.232265309317959
inv.length_versus_sacCer_sacPar_dS	-0.106600934336487	0.170327893499837	0.232265309317959
expr_versus_sacCer_sacPar_dS	-0.283157031747215	0.000312111916274357	0.00127682147566782
abund_versus_sacCer_sacPar_dS	-0.389433867317296	1.55497129065813e-05	7.77485645329065e-05
cai_versus_sacCer_sacPar_dS	-0.176255517795916	0.022697797543602	0.0392846495946959
disp_versus_sacCer_sacPar_dS	0.169793734124763	0.0329379196042688	0.0520072414804244
essential.num_versus_sacCer_sacPar_dS	-0.169357500932496	0.0312037126657667	0.0510606207258001
fold.length.sum_versus_sacCer_sacPar_dS	-0.0161209308478173	0.836183992132131	0.875076270835951
fRNAcov_versus_small_dSadj	-0.0765629256545158	0.326873735991918	0.387087318937798
gene_length_versus_small_dSadj	0.0493509022132941	0.527764523769808	0.572274784810635
inv.length_versus_small_dSadj	-0.0493509022132941	0.527764523769808	0.572274784810635
expr_versus_small_dSadj	0.0020269837197414	0.979899345376483	0.979899345376483
abund_versus_small_dSadj	0.00575870683390346	0.951078891564962	0.972694320918712
cai_versus_small_dSadj	0.176868425595944	0.0226330177748897	0.0392846495946959
disp_versus_small_dSadj	0.216294957023769	0.00651250106460291	0.0183164092441957
essential.num_versus_small_dSadj	-0.210198000026328	0.00744400648017354	0.0191417309490177
fold.length.sum_versus_small_dSadj	-0.0571655434577605	0.46443742523299	0.529105927480621
fRNAcov_versus_small_dNdS	-0.176185376180265	0.0231694457898403	0.0393443419072759
